Sound Sink 1.0 Analysis File
D:\Users\Robin\Music\Lapfox trax - WI-FI bridge.wav - Name of original audio file
16 bit, mono, 44100Hz sampling rate - Temp File Info
256 - Power of 2 for FFT processing
7000 - Hi frequency cutoff
Hamming - FFT Window

-----------------
-Analysis Frames-
freq:6546,094 val:3,919 
freq:6718,359 val:6,498 
freq:6890,625 val:4,212 


	Frame 12:
Maxvol: 5942	Time: 0,553
freq:0,000 val:0,370 
freq:172,266 val:41,008 
freq:344,531 val:83,063 
freq:516,797 val:100,000 
freq:689,062 val:75,920 
freq:861,328 val:65,694 
freq:1033,594 val:23,452 
freq:1205,859 val:32,998 
freq:1378,125 val:65,454 
freq:1550,391 val:66,775 
freq:1722,656 val:67,760 
freq:1894,922 val:40,473 
freq:2067,188 val:0,116 
freq:2239,453 val:29,802 
freq:2411,719 val:8,083 
freq:2583,984 val:34,024 
freq:2756,250 val:16,958 
freq:2928,516 val:0,973 
freq:3100,781 val:21,615 
freq:3273,047 val:17,417 
freq:3445,312 val:3,761 
freq:3617,578 val:3,029 
freq:3789,844 val:14,917 
freq:3962,109 val:0,415 
freq:4134,375 val:15,538 
freq:4306,641 val:15,701 
freq:4478,906 val:12,663 
freq:4651,172 val:6,839 
freq:4823,438 val:5,454 
freq:4995,703 val:6,342 
freq:5167,969 val:5,162 
freq:5340,234 val:0,182 
freq:5512,500 val:6,572 
freq:5684,766 val:11,153 
freq:5857,031 val:8,470 
freq:6029,297 val:4,069 
freq:6201,562 val:3,117 
freq:6373,828 val:2,983 
freq:6546,094 val:0,269 
freq:6718,359 val:5,672 
freq:6890,625 val:7,796 


	Frame 13:
Maxvol: 3250	Time: 0,603
freq:0,000 val:0,083 
freq:172,266 val:0,233 
freq:344,531 val:0,447 
freq:516,797 val:3,535 
freq:689,062 val:1,156 
freq:861,328 val:39,670 
freq:1033,594 val:100,000 
freq:1205,859 val:48,580 
freq:1378,125 val:22,132 
freq:1550,391 val:64,149 
freq:1722,656 val:36,674 
freq:1894,922 val:3,115 
freq:2067,188 val:12,214 
freq:2239,453 val:11,775 
freq:2411,719 val:0,154 
freq:2583,984 val:5,130 
freq:2756,250 val:5,349 
freq:2928,516 val:9,622 
freq:3100,781 val:22,707 
freq:3273,047 val:7,366 
freq:3445,312 val:3,777 
freq:3617,578 val:3,591 
freq:3789,844 val:2,207 
freq:3962,109 val:8,966 
freq:4134,375 val:18,866 
freq:4306,641 val:8,106 
freq:4478,906 val:1,376 
freq:4651,172 val:0,049 
freq:4823,438 val:2,225 
freq:4995,703 val:4,839 
freq:5167,969 val:3,390 
freq:5340,234 val:3,751 
freq:5512,500 val:3,199 
freq:5684,766 val:1,348 
freq:5857,031 val:0,764 
freq:6029,297 val:1,954 
freq:6201,562 val:0,861 
freq:6373,828 val:7,386 
freq:6546,094 val:7,396 
freq:6718,359 val:7,129 
freq:6890,625 val:7,141 


	Frame 14:
Maxvol: 4375	Time: 0,653
freq:0,000 val:0,232 
freq:172,266 val:0,007 
freq:344,531 val:7,030 
freq:516,797 val:10,775 
freq:689,062 val:1,422 
freq:861,328 val:40,256 
freq:1033,594 val:100,000 
freq:1205,859 val:46,099 
freq:1378,125 val:7,709 
freq:1550,391 val:19,930 
freq:1722,656 val:9,613 
freq:1894,922 val:2,740 
freq:2067,188 val:7,541 
freq:2239,453 val:3,513 
freq:2411,719 val:5,531 
freq:2583,984 val:13,268 
freq:2756,250 val:5,588 
freq:2928,516 val:0,038 
freq:3100,781 val:11,079 
freq:3273,047 val:11,596 
freq:3445,312 val:0,590 
freq:3617,578 val:1,158 
freq:3789,844 val:1,996 
freq:3962,109 val:1,557 
freq:4134,375 val:1,371 
freq:4306,641 val:3,953 
freq:4478,906 val:5,456 
freq:4651,172 val:12,214 
freq:4823,438 val:8,526 
freq:4995,703 val:3,881 
freq:5167,969 val:1,336 
freq:5340,234 val:0,222 
freq:5512,500 val:1,267 
freq:5684,766 val:5,963 
freq:5857,031 val:5,094 
freq:6029,297 val:0,931 
freq:6201,562 val:2,068 
freq:6373,828 val:3,761 
freq:6546,094 val:1,543 
freq:6718,359 val:0,218 
freq:6890,625 val:2,489 


	Frame 15:
Maxvol: 4044	Time: 0,703
freq:0,000 val:10,165 
freq:172,266 val:60,946 
freq:344,531 val:95,702 
freq:516,797 val:100,000 
freq:689,062 val:46,978 
freq:861,328 val:36,791 
freq:1033,594 val:34,945 
freq:1205,859 val:1,240 
freq:1378,125 val:38,390 
freq:1550,391 val:16,518 
freq:1722,656 val:10,464 
freq:1894,922 val:13,807 
freq:2067,188 val:28,251 
freq:2239,453 val:4,936 
freq:2411,719 val:6,676 
freq:2583,984 val:32,147 
freq:2756,250 val:23,791 
freq:2928,516 val:7,527 
freq:3100,781 val:2,561 
freq:3273,047 val:0,201 
freq:3445,312 val:3,044 
freq:3617,578 val:11,702 
freq:3789,844 val:21,942 
freq:3962,109 val:3,968 
freq:4134,375 val:34,649 
freq:4306,641 val:38,694 
freq:4478,906 val:3,496 
freq:4651,172 val:31,220 
freq:4823,438 val:29,291 
freq:4995,703 val:2,396 
freq:5167,969 val:11,577 
freq:5340,234 val:4,885 
freq:5512,500 val:21,504 
